ID,Category,Date,Quantity,Priority,Location,Details,Status
40,Delivery Position,3/16/2025,54,Medium,"Hallview, TN","From Miller, Ortiz and Cain to 8219 Amber Grove Apt. 442
Stephanietown, AZ 83347",Completed
41,Delivery Position,5/2/2026,52,Low,"North Davidborough, ME","From Smith, Brown and Barnes to 4946 Sean Park Apt. 221
Jasonstad, SD 07882",In Transit
42,Delivery Position,3/23/2025,44,Low,"New Williamside, NY","From Reeves and Sons to 21972 Teresa Port Apt. 078
Hamiltonside, MI 53825",Completed
43,Delivery Position,11/5/2024,38,Medium,"Lake Jason, WI","From Ruiz and Sons to 5695 Thomas Hill Apt. 520
Justinfort, CO 63446",Completed
44,Corporate Event,11/4/2025,460,Low,"Reyesland, OK","Shareholder Meeting by Ramos, Villanueva and Mcdonald",Planned
45,Delivery Position,8/1/2024,60,Medium,"Sanchezborough, GU","From Orozco LLC to 9468 Hayes Manors
South Paul, NE 88344",In Transit
46,Pre-order,9/16/2024,56,Medium,"North Heather, NH",Laptop (SKU: b3681bb3),Shipped
47,Delivery Position,1/27/2025,48,Medium,"New Bethside, RI","From Huff, Johnson and Murray to 3048 Brandon Stravenue
Lake Derekville, OR 91459",Completed
48,Pre-order,9/1/2024,60,High,"Michaelport, TN",Sneakers (SKU: 16121f08),Cancelled
49,Pre-order,4/9/2026,50,Low,"West Meganstad, MP",Furniture (SKU: 800ad327),Pending
50,Delivery Position,12/4/2025,51,Medium,"North Albertport, NH","From Stevenson-Best to 0141 Samuel Island
New Susanstad, SD 14250",Failed
51,Corporate Event,10/26/2024,620,Medium,"East Debrafurt, FM","Conference by Pope, Sanchez and Decker",Planned
52,Pre-order,9/22/2025,46,Low,"South Paul, WI",Furniture (SKU: 84d01ea8),Pending
53,Corporate Event,10/7/2025,630,High,"Schroederbury, MI",Shareholder Meeting by Howell-Woodward,Completed
54,Corporate Event,12/29/2025,540,Medium,"New Melanie, CT",Conference by Shaffer Inc,Completed
55,Pre-order,11/27/2024,56,High,"Jeffreyburgh, VT",Furniture (SKU: 9b92768c),Pending
56,Corporate Event,6/23/2024,430,Low,"Ginaton, PA",Shareholder Meeting by Rodriguez-Bryant,Planned
57,Delivery Position,9/19/2025,73,Low,"North Rebecca, MO","From Miller-Roberts to 98329 Kyle Shores
Williamsview, KS 35918",Completed
58,Delivery Position,7/16/2025,60,Medium,"Matthewtown, FL","From Mathis, Johnson and Carpenter to 007 Christopher Club Apt. 006
West Dawn, MA 35316",In Transit
59,Delivery Position,12/12/2025,45,Medium,"South Kimberlyhaven, DE","From Evans, Jackson and Cummings to 068 Thompson Plains
New Josephhaven, WY 34204",Completed
60,Delivery Position,7/20/2024,50,Medium,"West Christy, DE","From Meyer, Beard and Oliver to 06663 Amy Forges
South Ronald, FM 72025",In Transit
61,Delivery Position,8/1/2024,48,Low,"South Heidi, OK","From Peterson Inc to 5431 Woodward Terrace Apt. 363
South Christophermouth, GA 63621",Completed
62,Delivery Position,6/3/2024,43,Medium,"Ericmouth, FM","From Williams, Perez and Hernandez to 2847 Reed Flat
South Jennyport, MI 83409",Completed
63,Corporate Event,2/24/2025,720,Medium,"Lake Garychester, KS",Team Building by Brennan-Mitchell,Completed
64,Delivery Position,10/5/2024,54,Low,"South Jason, AL","From Griffith, Moore and Woods to 651 Jessica Hills Apt. 856
Lake Justinside, MS 74135",Completed
65,Delivery Position,7/27/2024,57,Medium,"Longshire, OR","From Price-Mcguire to 69158 Charles Junctions Suite 852
Lisaberg, MP 03120",Delayed
66,Pre-order,12/15/2024,45,High,"Martinfurt, MH",Book (SKU: 25906fef),Pending
67,Delivery Position,6/16/2024,43,Medium,"Lesterhaven, AS","From Reyes-Sutton to PSC 9311, Box 1581
APO AP 71295",Completed
68,Corporate Event,6/10/2025,470,Low,"Robertfort, MH",Conference by Huerta and Sons,Completed
69,Delivery Position,11/18/2025,49,Medium,"Sherriborough, CA","From Diaz PLC to 24260 Donna Stravenue Apt. 981
Freemanside, IN 18028",Completed
70,Corporate Event,7/8/2024,530,High,"Hamiltonburgh, NY","Conference by Clark, Schaefer and Moses",Completed
71,Pre-order,12/21/2025,43,Medium,"Whiteside, NE",Furniture (SKU: a172ba02),Pending
72,Delivery Position,2/4/2026,54,Medium,"Leeburgh, ID","From Wong-Williamson to 66226 Daniel Pike Apt. 536
Josephstad, NM 44923",In Transit
73,Delivery Position,11/19/2024,59,High,"Jamesshire, OK","From Foster-White to 2276 Arias Lake Apt. 957
New Miguelstad, WI 06149",Completed
74,Corporate Event,12/21/2024,530,Medium,"Lake Williamside, PA",Shareholder Meeting by Smith-Powell,Completed
75,Pre-order,1/14/2026,44,Low,"Steinmouth, SC",Smartphone (SKU: a4f3e15a),Pending
76,Pre-order,10/11/2025,46,Medium,"Lake Jeffreyberg, CO",Smartphone (SKU: f6d79de5),Shipped
77,Pre-order,10/9/2024,52,Medium,"Port Kimberly, PW",Furniture (SKU: 844c945c),Shipped
78,Delivery Position,5/31/2025,33,Medium,"East Ivantown, ND","From Gamble-Castro to 95235 Martinez Mountains
West Taraborough, VT 42007",Completed
79,Delivery Position,2/19/2026,50,High,"West Ruben, MD","From Chapman-Smith to 9205 Katie Plain
Bradleyfort, GA 03261",In Transit
80,Delivery Position,12/19/2025,47,Low,"Jerrytown, GU","From Ochoa Group to USNS Smith
FPO AP 54747",Completed
81,Corporate Event,8/21/2025,330,Medium,"East Laura, NM",Product Launch by Dixon-Blackwell,Completed
82,Pre-order,4/26/2026,54,Medium,"West Lisa, NC",Furniture (SKU: c2a1beed),Shipped
83,Delivery Position,10/19/2025,50,Medium,"Port Douglaschester, LA","From Smith, Jones and Miller to 826 Hoffman Highway Apt. 705
West Gregoryfort, NE 01159",Completed
84,Delivery Position,5/25/2024,51,Medium,"West Linda, NM","From Harper, Brown and Foley to 1118 John Burgs
South Juliechester, SC 79425",Completed
85,Delivery Position,6/30/2025,42,Medium,"Feliciaberg, MO","From Brown and Sons to 3380 Scott Square
East Regina, DC 86827",Completed
86,Delivery Position,11/25/2024,47,High,"New Lori, CA","From Gonzalez-Bray to Unit 9420 Box 3132
DPO AA 29392",Completed
87,Pre-order,9/17/2025,44,Low,"West Brianaton, NJ",Book (SKU: 842c0fec),Shipped
88,Pre-order,6/13/2025,73,Low,"West Brittany, NJ",Smartphone (SKU: e99eae2d),Pending
89,Corporate Event,8/28/2025,550,Medium,"Kimberlyshire, AR",Product Launch by Richardson and Sons,Planned
90,Delivery Position,1/7/2025,60,Low,"Taylorborough, NJ","From Green, Reed and Allen to Unit 5913 Box 4618
DPO AE 18623",In Transit
91,Delivery Position,7/6/2025,55,High,"New Timothystad, MH","From Kelly, Thomas and Matthews to 772 Bowman Inlet Suite 099
Port Nicole, AK 56290",Completed
92,Pre-order,6/18/2024,66,Medium,"North Michael, GU",Smartphone (SKU: 0664c04f),Pending
93,Pre-order,9/28/2025,51,Medium,"Port Cindy, GA",Furniture (SKU: 6bf9ba1b),Pending
94,Pre-order,9/6/2025,60,Medium,"Nunezland, SD",Furniture (SKU: 1e982327),Pending
95,Pre-order,9/29/2024,55,Medium,"Garyhaven, FL",Book (SKU: 85cff220),Pending
96,Delivery Position,10/8/2024,45,Medium,"Port Alison, DC","From Beasley, Winters and Larson to USNV Taylor
FPO AE 72623",Completed
97,Pre-order,3/12/2025,49,High,"Kevinton, ND",Sneakers (SKU: 98c4eeb8),Pending
98,Delivery Position,12/14/2025,41,Medium,"Lopezfort, FM","From Daniels, Adkins and Cole to 22943 Breanna Field Apt. 846
Port David, DC 26170",Completed
99,Delivery Position,6/25/2024,60,High,"Stevestad, IN","From Smith, Paul and Mathews to 3705 Nicole Views Apt. 617
Robinport, VI 58180",Completed
100,Delivery Position,2/8/2026,52,Low,"Collierfurt, MH","From King Ltd to 00393 Jeffrey Trafficway Suite 341
Johnview, ME 99638",In Transit
101,Delivery Position,5/1/2025,61,Medium,"East Tina, PA","From Harrison-Gregory to 1896 Bryan Forest Apt. 287
South Christopher, HI 98775",Completed
102,Pre-order,3/17/2025,47,High,"Jessicaport, OH",Furniture (SKU: a7cabc93),Shipped
103,Delivery Position,12/27/2024,58,Medium,"East Dylan, CT","From Clarke, Taylor and Kennedy to 021 Johnson Turnpike
Port Elizabethborough, CT 50397",In Transit
104,Pre-order,6/6/2024,58,Medium,"Briannaton, FL",Sneakers (SKU: 827f5fbc),Pending
105,Corporate Event,10/22/2025,580,Low,"North Charleston, FM","Team Building by James, Baker and Barker",Completed
106,Delivery Position,1/2/2026,52,Medium,"Matthewshire, ND","From Smith-Brown to Unit 1131 Box 4275
DPO AA 38447",Completed
107,Delivery Position,7/17/2024,47,Medium,"Port David, PW","From Colon Ltd to 7223 Tammy Parkway Suite 572
Port Traci, MD 67137",In Transit
108,Pre-order,3/16/2025,49,Low,"Lake Samuelborough, MD",Laptop (SKU: 559314ad),Pending
109,Delivery Position,4/2/2025,49,Medium,"New Warren, IL","From Rowe-Wong to USNS Rodriguez
FPO AP 57581",Completed
110,Delivery Position,12/9/2024,45,High,"Josephmouth, MH","From Jones and Sons to 85435 Johnson Causeway
Stanleybury, OK 34055",In Transit
111,Delivery Position,8/2/2025,45,Medium,"Port Darrentown, MS","From Jefferson-Williams to 15354 Patton Pines
Tylershire, NV 79227",In Transit
112,Delivery Position,3/5/2025,53,Low,"Port Scotthaven, NY","From Hawkins, Armstrong and Moore to 057 Walter View
Jonathanmouth, OH 17881",In Transit
113,Corporate Event,8/29/2024,530,Medium,"North Stevenbury, UT","Product Launch by Stephens, Snyder and Taylor",Completed
114,Corporate Event,2/7/2026,480,Medium,"East Katrinatown, NY","Team Building by Singleton, Chapman and Nelson",Planned
115,Pre-order,2/6/2026,51,High,"South Victoria, NH",Sneakers (SKU: 7972a474),Pending
116,Corporate Event,5/4/2026,480,High,"West Christineberg, IA",Team Building by Lewis-Alvarez,Completed
117,Corporate Event,1/23/2026,530,Medium,"Port Krystalmouth, HI",Team Building by Mason and Sons,Completed
118,Delivery Position,9/8/2024,53,Medium,"South Robinfurt, SC","From Thompson, Maldonado and Travis to PSC 4669, Box 8929
APO AE 70656",Completed
119,Corporate Event,9/25/2024,580,High,"Alanfurt, ME","Team Building by Wilson, Smith and Adams",Planned
120,Pre-order,2/14/2025,68,Low,"New Charlotte, TX",Smartphone (SKU: 8f428aaa),Shipped
121,Corporate Event,5/26/2025,440,Low,"Gibbsfort, DE","Product Launch by Robertson, Mcdonald and Hendricks",Completed
122,Corporate Event,8/10/2025,540,Medium,"Lynnmouth, TN",Team Building by Collins Group,Planned
123,Delivery Position,8/2/2025,48,Low,"Jackport, NH","From Russell PLC to 16298 Thomas Locks
North Patricia, MD 52844",In Transit
124,Delivery Position,3/17/2026,51,High,"Stonestad, IN","From Young, Kelly and Solis to 173 Kimberly Port
Jimenezfort, FM 75912",In Transit
125,Delivery Position,1/16/2025,46,Medium,"Ibarramouth, NM","From Carrillo Inc to 251 Navarro Burg
North Sharonhaven, DE 00819",Completed
126,Delivery Position,3/2/2026,58,Medium,"East Lisashire, ID","From Mendoza Group to 80895 Keller Mountain Suite 052
Harringtonburgh, TN 54242",Completed
127,Corporate Event,2/19/2025,470,Low,"East Kelly, AK","Product Launch by Jones, Snow and Lopez",Completed
128,Corporate Event,9/25/2024,560,Low,"Moralesview, OH","Product Launch by Jones, Wilson and Ibarra",Postponed
129,Delivery Position,3/9/2026,49,Medium,"Port Mary, IA","From White, Lin and Williams to 1412 Nicholas Fields
South Zacharyhaven, VT 96246",In Transit
130,Pre-order,9/1/2024,43,Low,"East Alice, VT",Book (SKU: 7e2eabeb),Pending
131,Delivery Position,5/19/2025,44,High,"Morganville, MN","From Cruz, Cunningham and Nichols to 703 Nguyen Springs Apt. 962
Waltermouth, GU 12345",Delayed
132,Delivery Position,11/12/2024,55,Low,"Briggsmouth, NH","From Lucas, Young and Chavez to 1528 Andrew Court
Wesleyfurt, TN 07097",Completed
133,Delivery Position,2/11/2026,52,Low,"South Robin, UT","From Goodwin Ltd to 9087 Frank Overpass
South Amandamouth, MT 02116",Delayed
134,Delivery Position,10/12/2024,70,High,"West Lisaside, SC","From Hart, Downs and Williams to 6798 Steven Grove
North Alex, WY 63310",Failed
135,Corporate Event,9/22/2024,580,Low,"Obrienton, NH","Conference by Clarke, Pierce and Underwood",Planned
136,Delivery Position,8/31/2025,67,High,"South Nancyshire, KY","From Smith-Nichols to USCGC Payne
FPO AP 02117",In Transit
137,Pre-order,7/28/2024,45,Medium,"Kristenmouth, HI",Furniture (SKU: 462c46ae),Pending
138,Pre-order,2/15/2025,53,Medium,"Lake Cassandra, AS",Book (SKU: e83e0692),Pending
139,Delivery Position,7/11/2024,48,Medium,"Richardsfort, WI","From Davis-Henderson to 845 Valerie Centers Suite 439
New Timothy, IN 26240",Completed
140,Corporate Event,8/16/2025,570,Low,"South Garyton, MT","Team Building by Johnson, Pearson and Francis",Completed
141,Corporate Event,12/20/2025,580,Medium,"Walkerland, WA",Conference by Ruiz PLC,Planned
142,Delivery Position,7/9/2025,54,Medium,"Millerchester, WY","From Ortega Group to 3259 Green Underpass
Michaelport, AR 21739",Completed
143,Delivery Position,2/19/2026,54,Low,"Port Thomasborough, AZ","From Sims Inc to 2468 Alexander Mission Apt. 445
Brownbury, IA 88701",In Transit
144,Delivery Position,3/30/2026,53,Low,"South Dale, HI","From Lewis-Hopkins to 09507 Diane Corners
New Troymouth, VT 91609",Delayed
145,Delivery Position,4/5/2025,56,High,"East William, AK","From Torres PLC to 1769 Ian Dale
Millerberg, CA 06414",Failed
146,Delivery Position,4/23/2025,45,Low,"Andersonshire, FM","From Murphy and Sons to 095 Thomas Vista Suite 038
Lake Josephburgh, NJ 41602",Completed
147,Pre-order,5/15/2026,53,High,"Kristinamouth, NC",Sneakers (SKU: 4e9391b1),Pending
148,Pre-order,1/4/2025,45,Low,"Robertmouth, RI",Sneakers (SKU: 3182b8d1),Pending
149,Delivery Position,5/31/2024,53,Medium,"Hallberg, SC","From Pierce, Jennings and Hernandez to 66960 Brittney Union
Kimberlyport, PA 73807",Completed
150,Delivery Position,3/5/2026,55,High,"South Kathy, WY","From Allison PLC to 415 Jennifer Island Suite 094
Tracybury, TN 45569",In Transit
151,Corporate Event,11/15/2024,490,Medium,"New Christopherburgh, KY","Team Building by Hughes, Santos and Garcia",Planned
152,Delivery Position,1/28/2026,42,Medium,"Wolfefort, DC","From Cabrera-Nunez to 43065 Joseph Track Suite 713
Harveyville, OK 93000",Completed
153,Delivery Position,8/29/2024,56,Medium,"Crawfordstad, HI","From Barnes Group to 53390 Jones Forge
West Tiffany, WV 65585",In Transit
154,Delivery Position,11/10/2024,46,High,"Heatherport, NC","From Li, Murray and Norris to 6333 Hale Forges
Summerstown, CO 09531",Completed
155,Corporate Event,2/28/2025,440,Medium,"Delacruzmouth, NH",Shareholder Meeting by Parker-Walsh,Postponed
156,Delivery Position,10/13/2025,45,Low,"Lake Kellyburgh, DE","From Martinez, Matthews and Smith to 2305 Reyes Plains
Johnnytown, OR 63963",In Transit
157,Pre-order,5/9/2026,38,Medium,"South Melissa, WA",Book (SKU: 021bfdca),Pending
158,Pre-order,7/16/2024,38,Medium,"Clarktown, TX",Sneakers (SKU: 3b030c56),Pending
159,Delivery Position,6/3/2024,45,Medium,"Kaitlynhaven, MA","From Wolfe-Smith to 8606 Jones Forks
North Connormouth, MT 20179",Completed
160,Pre-order,2/22/2025,61,High,"New Matthewfurt, AS",Sneakers (SKU: 008c8179),Shipped
161,Delivery Position,6/16/2024,52,Low,"Michelleview, CA","From Mitchell, Conner and Willis to 89094 Kendra Canyon Apt. 986
Mullinsland, KS 93228",In Transit
162,Pre-order,2/14/2026,47,Low,"Sanchezchester, HI",Book (SKU: 51f89ce4),Pending
163,Pre-order,11/3/2025,52,Medium,"New Paulstad, VI",Furniture (SKU: 5fc53e4e),Pending
164,Pre-order,4/20/2025,50,Medium,"West Joseph, DE",Smartphone (SKU: 5135ffdd),Shipped
165,Delivery Position,10/18/2024,52,Low,"Lake Andreamouth, WA","From Snyder-Cole to 30767 Conley Fort
Dawsonfurt, TN 85438",Completed
166,Corporate Event,5/4/2025,430,Medium,"Lisaside, RI",Shareholder Meeting by Owens Inc,Planned
167,Delivery Position,4/21/2025,44,Low,"Samanthamouth, GA","From Reed LLC to 57058 Don Rapids Suite 551
South Matthew, GU 96975",Completed
168,Delivery Position,12/17/2025,40,Medium,"Haynestown, NE","From Wilson, Freeman and Page to 9324 Kathryn Run Suite 911
Port Michael, PW 48845",Failed
169,Delivery Position,2/3/2025,57,Low,"Bradberg, NM","From House, Lee and Rojas to 72018 Gonzalez Island Apt. 557
Grahammouth, HI 82180",Completed
170,Pre-order,8/10/2024,54,Medium,"North Jacobborough, ID",Smartphone (SKU: 18867d61),Pending
171,Pre-order,3/23/2026,64,Medium,"Reyesbury, OR",Furniture (SKU: 3b1cb55e),Pending
172,Delivery Position,2/10/2025,49,Low,"Vincentland, KS","From Wise-Lewis to 315 Thompson Rapid
Gallagherburgh, VI 13727",In Transit
173,Pre-order,10/12/2025,52,Medium,"Lake Kathryn, HI",Laptop (SKU: c047d16d),Shipped
174,Delivery Position,2/10/2025,51,Medium,"East Joanne, OR","From Taylor-Mullins to 4343 Ronald Pike Apt. 175
Colemanside, ND 03344",In Transit
175,Pre-order,3/25/2025,39,Medium,"Debbietown, CO",Furniture (SKU: 9645561f),Pending
176,Delivery Position,9/1/2025,42,Medium,"North Jason, MN","From Rogers, Webb and Boyd to 3823 Smith Crescent Suite 647
Marymouth, VI 10021",Completed
177,Pre-order,10/3/2025,57,Medium,"South Michael, NH",Book (SKU: 95bb23c1),Pending
178,Delivery Position,7/25/2025,46,High,"North Leonardport, OH","From Taylor-Moore to 03807 Matthew Underpass Apt. 309
Sotoburgh, MD 31195",In Transit
179,Corporate Event,8/26/2024,520,High,"Nicholsfurt, GU",Product Launch by Henry Ltd,Completed
180,Delivery Position,6/27/2024,49,Medium,"Patriciabury, DE","From Marshall Group to 18617 White Parks Suite 190
North Vincent, FM 89481",In Transit
181,Delivery Position,9/3/2024,53,Low,"Nataliehaven, ME","From Benton LLC to 302 William Motorway
Brianview, SC 49767",Delayed
182,Delivery Position,6/19/2025,63,Medium,"Trevinomouth, OR","From Jackson-Ramirez to 8047 Ramsey Falls
North Evelynborough, AS 85014",In Transit
183,Corporate Event,9/16/2024,410,Medium,"Cynthiahaven, OK",Shareholder Meeting by Collins and Sons,Planned
184,Corporate Event,2/23/2025,480,Medium,"Bradshawfort, NY",Conference by Nichols Group,Completed
185,Delivery Position,8/7/2024,60,High,"Port Stephanieview, ID","From Moss Ltd to USCGC Hill
FPO AE 17363",Completed
186,Pre-order,8/1/2024,58,Medium,"Wrightberg, CT",Furniture (SKU: 56ca2560),Shipped
187,Corporate Event,7/19/2025,390,High,"Jeremyshire, CT",Product Launch by Downs-Wallace,Completed
188,Pre-order,4/8/2026,43,High,"Ianside, MA",Sneakers (SKU: e5153a25),Pending
189,Pre-order,3/2/2026,48,Medium,"Port Christian, NC",Furniture (SKU: 2a801c73),Pending
190,Delivery Position,9/10/2025,54,Medium,"East Joshuaville, NH","From Frye, Arnold and Beasley to USCGC Thomas
FPO AE 40106",Delayed
191,Delivery Position,6/4/2025,42,High,"Chapmanfurt, WI","From Berry-Gonzalez to Unit 0259 Box 1676
DPO AA 86400",Completed
192,Corporate Event,5/28/2024,630,Medium,"Lake Dennischester, UT",Conference by Schmidt-Harris,Planned
193,Corporate Event,6/4/2025,530,Medium,"East Jason, MN","Conference by Harris, Torres and Mendez",Planned
194,Pre-order,10/21/2024,43,Medium,"West Benjamin, MS",Furniture (SKU: 65890425),Pending
195,Delivery Position,6/28/2024,49,Medium,"North Deniseburgh, MP","From Roberts and Sons to USCGC Gonzalez
FPO AP 91730",Completed
196,Delivery Position,10/9/2025,48,Low,"Douglasburgh, WV","From Smith LLC to 1548 Williams Springs
West Charles, IA 20536",In Transit
197,Pre-order,6/4/2025,47,High,"Hillburgh, TX",Laptop (SKU: fe5c06ff),Pending
198,Corporate Event,9/10/2025,500,Medium,"West Diamond, PR","Shareholder Meeting by Weaver, Blanchard and Rice",Completed
199,Corporate Event,3/31/2025,540,High,"Amandahaven, ID",Product Launch by Spears Ltd,Completed
200,Pre-order,8/3/2024,53,High,"Thomasland, DE",Sneakers (SKU: cf818e5b),Shipped
201,Pre-order,2/8/2026,43,Medium,"Charleston, OR",Book (SKU: 81c98d78),Pending
202,Delivery Position,11/5/2024,57,Medium,"Joshuachester, OR","From Thompson-Moore to 849 Claudia Roads Suite 560
Summerston, WA 36657",Completed
203,Delivery Position,9/7/2024,42,Low,"Nicholsonshire, KY","From Frazier, Ray and Franklin to 687 Hutchinson Forge Apt. 531
Port Katherinefurt, MH 86937",In Transit
204,Corporate Event,8/25/2024,470,Medium,"East Scottstad, PW","Team Building by Johnson, Jones and Bailey",Planned
205,Pre-order,5/21/2024,55,Low,"Owenburgh, IA",Smartphone (SKU: 2ce75860),Pending
206,Delivery Position,5/4/2026,58,High,"Lake Stacie, MI","From Kennedy and Sons to 38066 Grant Common
Malonetown, NH 12629",In Transit
207,Delivery Position,5/30/2024,47,High,"East Brandon, FM","From Johnson, Brown and Johnson to 947 Jeremy Estate Apt. 455
Jeremiahside, MN 86701",Completed
208,Pre-order,5/7/2025,51,High,"Taylorside, ND",Book (SKU: ff863fd2),Pending
209,Delivery Position,6/12/2025,42,High,"Lucasberg, OH","From Robbins-Young to 7850 Ashley Well Apt. 157
North Elizabethborough, NH 52310",Completed
210,Delivery Position,10/29/2025,50,Medium,"Port Abigailville, CT","From Garcia, Banks and Phillips to 48561 Joyce Extension Apt. 766
Alyssaport, WY 08876",Failed
211,Pre-order,5/6/2025,48,Medium,"East Gerald, PW",Sneakers (SKU: 1bcc3ba9),Cancelled
212,Pre-order,6/26/2024,59,High,"Mccartyhaven, MA",Smartphone (SKU: 6260767e),Pending
213,Pre-order,10/12/2024,57,Low,"Davisborough, LA",Laptop (SKU: 9b70d2b1),Pending
214,Delivery Position,9/14/2024,49,Low,"Jodiport, UT","From Haas-Ward to 2652 Taylor Branch Suite 218
North Jacobstad, PA 79744",Completed
215,Pre-order,4/5/2026,57,Medium,"Lake Kennethberg, NE",Smartphone (SKU: 2083de94),Shipped
216,Delivery Position,3/25/2025,52,High,"New Angelaland, GA","From Holmes-Wilson to PSC 1097, Box 7138
APO AP 12877",Completed
217,Delivery Position,7/6/2024,69,High,"New Sharonville, WI","From Mora Ltd to 69805 Anna Trafficway Apt. 677
Briantown, ME 93909",In Transit
218,Pre-order,2/10/2025,41,High,"West Tammy, MH",Smartphone (SKU: 95cad589),Pending
219,Pre-order,12/18/2025,50,High,"Coxtown, FM",Book (SKU: f7f30206),Pending
